"Report wrong activities of group to admin";"Report wrong activities of group to admin"

"(Max 256 characters)";"(Max 256 characters)"
"URL Link";"URL Link"
"Post Useful Link";"Post Useful Link"
"Group Activities";"Group Activities"
"Invite By Email";"Invite By Email"
"Invite All Users";"Invite All Users"
"Invite Friends";"Invite Friends"
"Invitations Management";"Invitations Management"

"Promote Member";"Promote Member"
"Are you sure you want to promote this member to officer?";"Are you sure you want to promote this member to officer?"

"Reject Group Invitation";"Reject Group Invitation"
"Would you like to reject the invitation to this group?";"Would you like to reject the invitation to this group?"
"Reject Invitation";"Reject Invitation"

"Are you sure you want to remove this member from the group?";"Are you sure you want to remove this member from the group?"

"Request Group Membership";"Request Group Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this group?"
"Send Request";"Send Request"

"Delete Group Photo";"Delete Group Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Delete Photo";"Delete Photo"
"User";"User"
"Invite Selected";"Invite Selected"
"Resend Invite";"Resend Invite"
"Not Reply";"Not Reply"
"Rejected / Ignored";"Rejected / Ignored"
"Not Replied";"Not Replied"

"Cancel Invitation";"Cancel Invitation"
"Would you like to cancel your invitation for member in this group?";"Would you like to cancel your invitation for member in this group?"
"Resend Invitation(s)?";"Resend Invitation(s)?"
"Please select an user to resend invitation.";"Please select an user to resend invitation."
"This group don't have any invitations.";"This group don't have any invitations."
"Are you sure you want to resend %d invitation(s) to  these members?";"Are you sure you want to resend %d invitation(s) to  these members?"

"This group has %s invitation waiting for resend.";"This group has %s invitation waiting for resend.";"This group has %s invitations waiting for resend."

"Edit Photo";"Edit Photo"
"Title";"Title"
"Description";"Description"

"Group Info";"Group Info"
"Edit Group Details";"Edit Group Details"
"Edit Group Style";"Edit Group Style"
"Share Group";"Share Group"
"Add Events";"Add Events"
"No events have been added to this group yet.";"No events have been added to this group yet."

"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album. (2MB maximum)";"Choose photos on your computer to add to this album. (2MB maximum)"
"Save Photos";"Save Photos"

"Reply";"Reply"
"Body";"Body"
"Delete Post";"Delete Post"
"Are you sure you want to delete this post?";"Are you sure you want to delete this post?"

"Edit Post";"Edit Post"

"Post Discussion Topic";"Post Discussion Topic"
"Message";"Message"

"Delete Topic";"Delete Topic"
"Are you sure you want to delete this topic?";"Are you sure you want to delete this topic?"

"Rename Topic";"Rename Topic"
"Are you sure you want to delete this group?";"Are you sure you want to delete this group?"

"Group Name";"Group Name"
"Profile Photo";"Profile Photo"
"Category";"Category"

"Include in search results?";"Include in search results?"
"Yes, include in search results.";"Yes, include in search results."
"No, hide from search results.";"No, hide from search results."

"Let members invite others?";"Let members invite others?"
"Yes, members can invite other people.";"Yes, members can invite other people."
"No, only officers can invite other people.";"No, only officers can invite other people."

"Approve members?";"Approve members?"
"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join this group, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."

"View Privacy";"View Privacy"
"Who may see this group?";"Who may see this group?"
"Everyone";"Everyone"
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"

"Comment Privacy";"Comment Privacy"
"Who may post on this group's wall?";"Who may post on this group's wall?"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"

"Photo Uploads";"Photo Uploads"
"Who may upload photos to this group?";"Who may upload photos to this group?"
"Members, Officers, and Owner Only";"Members, Officers, and Owner Only"
"Officers and Owner Only";"Officers and Owner Only"

"Event Creation";"Event Creation"
"Who may create events for this group?";"Who may create events for this group?"

"Invite Members";"Invite Members"
"Choose the people you want to invite to this group.";"Choose the people you want to invite to this group."
"Members";"Members"
"Choose All";"Choose All"
"Send Invites";"Send Invites"

"Group Styles";"Group Styles"
"Custom Group Styles";"Custom Group Styles"
"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group.";"You can change the colors, fonts, and styles of your group by adding CSS code below. The contents of the text area below will be output between <style> tags on your group."

"%1$s has invited you to the group %2$s";"%1$s has invited you to the group %2$s"

"This group has %1$s member.";"This group has %1$s member.";"This group has %1$s members."
"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s member that matched the query ""%2$s"".";"This group has %1$s members that matched the query ""%2$s""."

"See Waiting";"View invited users and users waiting for approval/rejection"
"View all approved members";"View all approved members"

"This group has %s member waiting approval or waiting for a invite response.";"This group has %s member waiting approval or waiting for a invite response."
"Send me notifications when other members reply to this topic.";"Send me notifications when other members reply to this topic."

"ADMIN_ACTIVITY_TYPE_ADVGROUP_CREATE";"When a user (subject) creates a new club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_JOIN";"When a user (subject) joins a club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_PHOTO_UPLOAD";"When a user (subject) uploads a new photo to a club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_PROMOTE";"When a user (subject) is given officer status in a club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a user (subject) creates a new topic in a club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_TOPIC_REPLY";"When a user (subject) replies to a topic in a club (object)."
"ADMIN_ACTIVITY_TYPE_ADVGROUP_POLL_NEW";"When a user (subject) creates a new poll in a club (object)."

"_ACTIVITY_ACTIONTYPE_ADVGROUP_CREATE";"New clubs"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_JOIN";"Joining a club"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_PHOTO_UPLOAD";"Uploading a club photo"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_ALBUM_UPLOAD";"Uploading a club album"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_PROMOTE";"Club promotions"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_CREATE";"Creating a club discussion topic"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_TOPIC_REPLY";"Replying to a club discussion topic"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_CREATE";"Creating a new wiki page in club"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_MOVE";"Moving a wiki page in club"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_WIKI_UPDATE";"Updating a wiki page in club"
"_ACTIVITY_ACTIONTYPE_ADVGROUP_LISTING_CREATE";"Creating a new listing in club"

"ACTIVITY_TYPE_COMMENTED_ADVGROUP";"When someone comments on a club I commented on."
"ACTIVITY_TYPE_COMMENT_ADVGROUP";"When someone comments on one of my clubs."
"ACTIVITY_TYPE_LIKED_ADVGROUP";"When someone comments on a club I liked."
"ACTIVITY_TYPE_LIKE_ADVGROUP";"When someone likes one of my clubs."
"ACTIVITY_TYPE_ADVGROUP_APPROVE";"When someone requests to join a club I created."
"ACTIVITY_TYPE_ADVGROUP_ACCEPTED";"When my request to join a club is approved."
"ACTIVITY_TYPE_ADVGROUP_CREATE";"When a new club is created."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_REPLY";"When people reply to discussion topics that I've replied to."
"ACTIVITY_TYPE_ADVGROUP_DISCUSSION_RESPONSE";"When people reply to discussion topics that I create."
"ACTIVITY_TYPE_ADVGROUP_INVITE";"When I'm invited to join a club."
"ACTIVITY_TYPE_ADVGROUP_JOIN";"When a new member joins a club."
"ACTIVITY_TYPE_ADVGROUP_PHOTO_UPLOAD";"When a new photo is uploaded to a club."
"ACTIVITY_TYPE_ADVGROUP_PROMOTE";"When I'm given officer status in a club."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_CREATE";"When a new club topic is created."
"ACTIVITY_TYPE_ADVGROUP_TOPIC_REPLY";"When someone replies to a club topic."
"ACTIVITY_TYPE_ADVGROUP_FOLLOW_EDIT";"When someone edit your following clubs."

"These settings affect all members in your community.";"These settings affect all members in your community."
"GROUP_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."

"Allow  to manage Announcements of Groups?";"Allow  to manage Announcements of Groups?"
"Do you want to allow this user level to manage announcements of all groups?";"Do you want to allow this user level to manage announcements of all groups?"
"Yes, allow to manage announcemnents of all groups.";"Yes, allow to manage announcemnents of all groups."
"No, do not allow to manage announcemnents of any groups.";"No, do not allow to manage announcemnents of any groups."

"Allow Create Wiki Pages on Groups?";"Allow Create Wiki Pages on Groups?"
"Do you want to let members of this level create wiki pages on groups?";"Do you want to let members of this level create wiki pages on groups?"
"Yes, allow members to create wiki pages on groups.";"Yes, allow members to create wiki pages on groups."
"No, do not allow members to create wiki pages on groups.";"No, do not allow members to create wiki pages on groups."

"Wiki Page Creation Options";"Wiki Page Creation Options"

"Allow Viewing of Groups?";"Allow Viewing of Groups?"
"GROUP_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let users view groups? If set to no, some other settings on this page may not apply."
"No, do not allow groups to be viewed.";"No, do not allow groups to be viewed."
"Yes, allow viewing and subscription of groups.";"Yes, allow viewing and subscription of groups."
"Yes, allow members to view all groups, even private ones.";"Yes, allow members to view all groups, even private ones."

"Allow Creation of Groups?";"Allow Creation of Groups?"
"GROUP_FORM_ADMIN_LEVEL_CREATE_DESCRIPTION";"Do you want to let users create groups? If set to no, some other settings on this page may not apply. This is useful if you want users to be able to view groups and manage their subscriptions, but only want certain levels to be able to create groups."
"No, do not allow groups to be created.";"No, do not allow groups to be created."
"Yes, allow creation of groups.";"Yes, allow creation of groups."

"Allow Editing of Groups?";"Allow Editing of Groups?"
"Do you want to let users edit groups?";"Do you want to let users edit groups?"
"Yes, allow members to edit everyone\'s groups.";"Yes, allow members to edit everyone\'s groups."
"No, do not allow groups to be edited.";"No, do not allow groups to be edited."
"Yes, allow  members to edit their own groups.";"Yes, allow  members to edit their own groups."
"Yes, allow members to edit everyone's groups.";"Yes, allow members to edit everyone's groups."

"Allow Create Sub Groups on Groups?";"Allow Create Sub Groups on Groups?"
"Do you want to let members of this level create sub groups on groups?";"Do you want to let members of this level create sub groups on groups?"
"Yes, allow members to create sub groups on groups.";"Yes, allow members to create sub groups on groups."
"No, do not allow members to create sub groups on groups.";"No, do not allow members to create sub groups on groups."

"Allow Create Videos on Groups?";"Allow Create Videos on Groups?"
"Do you want to let members of this level create videos on groups?";"Do you want to let members of this level create videos on groups?"
"Yes, allow members to create videos on groups.";"Yes, allow members to create videos on groups."
"No, do not allow members to create videos on groups.";"No, do not allow members to create videos on groups."

"Group Privacy";"Group Privacy"
"GROUP_FORM_ADMIN_LEVEL_AUTHVIEW_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can see their group. If you do not check any options, everyone will be allowed to view groups."

"GROUP_FIELDS_VIEWS_SCRIPTS_ADMINFIELDS_DESCRIPTION";"Your members will be asked to provide some information about their group information when creating a new group. Create some group questions that allow them to describe their group in a way that relates to the theme of your community. To reorder the group questions, click on their names and drag them up or down."

"Group Posting Options";"Group Posting Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHCOMMENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can post to their group discussions. If you do not check any options, everyone will be allowed to post."
"Registered Members";"Registered Members"
"Members, Officers, and Owner";"Members, Officers, and Owner"
"Officers and Owner Only";"Officers and Owner Only"
"Owner Only";"Owner Only"

"Photo Upload Options";"Photo Upload Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPHOTO_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can upload photos to their groups. If you do not check any options, all members will be allowed to upload."

"Event Creation Options";"Event Creation Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHEVENT_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create events in their groups. If you do not check any options, all members will be allowed to create events."

"Poll Creation Options";"Poll Creation Options"
"GROUP_FORM_ADMIN_LEVEL_AUTHPOLL_DESCRIPTION";"Your users can choose from any of the options checked below when they decide who can create polls in their groups. If you do not check any options, all members will be allowed to create polls."
"My Groups";"My Groups"

"Delete Group?";"Delete Group?"
"Are you sure that you want to delete this group? It will not be recoverable after being deleted.";"Are you sure that you want to delete this group? It will not be recoverable after being deleted."

"Are you sure you want to delete the selected groups?";"Are you sure you want to delete the selected groups?"
"GROUP_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the group entries your users have posted. You can use this page to monitor these groups and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific group entries. Leaving the filter fields blank will show all the group entries on your social network."
"GROUP_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their groups, create the categories below. This feature is useful if you want to list all your users' group that If you have no categories, your users will not be given the option of assigning a group category."
"REPORTS_VIEW_GROUPS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the report entries your users have posted. You can use this page to monitor and moderate activities of groups easily."

"There are currently no categories.";"There are currently no categories."

"Delete Group Category?"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted."

"Search Members";"Search Members"
"owner";"owner"
"officer";"officer"

"Browse Groups";"Browse Groups"
"All Group Members";"All Group Members"

"Groups Plugin";"Groups Plugin"
"Manage Groups";"Manage Groups"
"Allow Deletion of Groups?";"Allow Deletion of Groups?"
"Do you want to let members delete groups? If set to no, some other settings on this page may not apply.";"Do you want to let members delete groups? If set to no, some other settings on this page may not apply."
"Yes, allow members to delete their own groups.";"Yes, allow members to delete their own groups."
"No, do not allow members to delete their groups.";"No, do not allow members to delete their groups."
"Allow Commenting on Groups?";"Allow Commenting on Groups?"
"Do you want to let members of this level comment on groups?";"Do you want to let members of this level comment on groups?"
"Yes, allow members to comment on groups.";"Yes, allow members to comment on groups."
"No, do not allow members to comment on groups.";"No, do not allow members to comment on groups."

"Group Profile Discussions";"Group Profile Discussions"
"Group Profile Events";"Group Profile Events"
"Group Profile Info";"Group Profile Info"
"Group Profile Members";"Group Profile Members"
"Group Profile Options";"Group Profile Options"
"Group Profile Photo";"Group Profile Photo"
"Group Profile Photos";"Group Profile Photos"
"Group Profile Status";"Group Profile Status"
"Profile Groups";"Profile Groups"

"Compose Message";"Compose Message"
"Sent Messages";"Sent Messages"
"Inbox";"Inbox"
"Send To";"Send To"
"Subject";"Subject"
"Add Link";"Add Link"
"Add Video";"Add Video"
"Sent Message";"Sent Message"


# categories
"Animals";"Animals"
"Business & Finance";"Business & Finance"
"Computers & Internet";"Computers & Internet"
"Cultures & Community";"Cultures & Community"
"Dating & Relationships";"Dating & Relationships"
"Entertainment & Arts";"Entertainment & Arts"
"Family & Home";"Family & Home"
"Games";"Games"
"Government & Politics";"Government & Politics"
"Health & Wellness";"Health & Wellness"
"Hobbies & Crafts";"Hobbies & Crafts"
"Music";"Music"
"Recreation & Sports";"Recreation & Sports"
"Regional";"Regional"
"Religion & Beliefs";"Religion & Beliefs"
"Schools & Education";"Schools & Education"
"Science";"Science"


# item types
"ITEM_TYPE_ADVGROUP_GROUP";"Groups"
"ITEM_TYPE_ADVGROUP_ALBUM";"Group Albums"
"ITEM_TYPE_ADVGROUP_LINK";"Group Useful Links"
"ITEM_TYPE_ADVGROUP_ANNOUNCEMENT";"Group Announcements"
"ITEM_TYPE_ADVGROUP_PHOTO";"Group Photos"
"ITEM_TYPE_ADVGROUP_TOPIC";"Group Discussion Topic"
"ITEM_TYPE_ADVGROUP_POST";"Group Discussion Post"
"ITEM_TYPE_ADVGROUP_POLL";"Group Polls"


# action types
"{item:$subject} created a new group:";"{item:$subject} created a new group:"
"{item:$subject} joined the group {item:$object}";"{item:$subject} joined the group {item:$object}"
"{item:$subject} added {var:$count} photo(s).";"{item:$subject} added {var:$count} photo(s)."
"{item:$subject} has been made an officer for the group {item:$object}";"{item:$subject} has been made an officer for the group {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}"
"{item:$subject} has became the owner of the group {item:$object}";"{item:$subject} has became the owner of the group {item:$object}"
"{item:$subject} posted a new topic:";"{item:$subject} posted a new topic:"
"{item:$subject} replied to the topic {body:$body}";"{item:$subject} replied to the topic {body:$body}"
"{item:$subject} created a new poll:";"{item:$subject} created a new poll:"
"{item:$subject} created a new sub-group:";"{item:$subject} created a new sub-group:"
"{item:$subject} posted a new video:";"{item:$subject} posted a new video:"

# notification types
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on."
"{item:$subject} has invited you to the group {item:$object}.";"{item:$subject} has invited you to the group {item:$object}."
